Part,Value,Device,Package,Description,RS code,Link,
C1,4.7nF,C-EUC0805,C0805,"CAPACITOR, European symbol",4646717,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/4646717/,
C2,4.7nF,C-EUC0805,C0805,"CAPACITOR, European symbol",4646717,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/4646717/,
C3,22nF,C-EUC0805,C0805,"CAPACITOR, European symbol",4646701,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/4646701/,
C4,1.8nF,C-EUC0805,C0805,"CAPACITOR, European symbol",7236225,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/7236225/,Low ESR
C5,10uF,C-EUC0805,C0805,"CAPACITOR, European symbol",9159280,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/9159280/,Low ESR
C6,2.2uF,C-EUC0805,C0805,"CAPACITOR, European symbol",8919794,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/8919794/,
C7,10nF,C-EUC0805,C0805,"CAPACITOR, European symbol",4614013,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/4614013/,
D1,DFLS240L,DFLS240L,POWERDI123,,7082337,http://uk.rs-online.com/web/p/rectifier-schottky-diodes/7082337/,"Ordered 10 on charger, 10 on reciever"
D2,DFLS240L,DFLS240L,POWERDI123,,7082337,http://uk.rs-online.com/web/p/rectifier-schottky-diodes/7082337/,
D3,DFLS240L,DFLS240L,POWERDI123,,7082337,http://uk.rs-online.com/web/p/rectifier-schottky-diodes/7082337/,
D4,39VZ,DFLZ39,POWERDI123,,822-2497,http://uk.rs-online.com/web/p/zener-diodes/8222497/,
L1,15uH,L-EUL1812,L1812,Toko coil,7521327,http://uk.rs-online.com/web/p/wire-wound-surface-mount-inductors/7521327/,"out of stock, using this: http://uk.rs-online.com/web/p/wire-wound-surface-mount-inductors/0573858/"
LED1,,LEDCHIP-LED0805,CHIP-LED0805,LED,,http://uk.rs-online.com/web/p/visible-leds/9154768/,ordered on charger
LED2,,LEDCHIP-LED0805,CHIP-LED0805,LED,,http://uk.rs-online.com/web/p/visible-leds/9154768/,
R1,3.01K,R-EU_R0805,R0805,"RESISTOR, European symbol",6791349,http://uk.rs-online.com/web/p/surface-mount-fixed-resistors/6791349/,
R2,10K,R-EU_R0805,R0805,"RESISTOR, European symbol",2230562,http://uk.rs-online.com/web/p/surface-mount-fixed-resistors/2230562/,
R3,22k,Pot,,Charge limiting pot,5219754,http://uk.rs-online.com/web/p/trimmer-resistors/5219754/,
R4,470,R-EU_R0805,R0805,"RESISTOR, European symbol",2230376,http://uk.rs-online.com/web/p/surface-mount-fixed-resistors/2230376/,
R5,470,R-EU_R0805,R0805,"RESISTOR, European symbol",2230376,http://uk.rs-online.com/web/p/surface-mount-fixed-resistors/2230376/,
U$1,LT4120,LT4120,QFN16,,,,"Matt has them, for free!"
X1,,AK500/2,AK500/2,CONNECTOR,,http://uk.rs-online.com/web/p/pcb-terminal-blocks/2204260/,ordered on charger
X2,,AK500/2,AK500/2,CONNECTOR,,http://uk.rs-online.com/web/p/pcb-terminal-blocks/2204260/,ordered on charger
X3,,KK-156-3,KK-156-3,KK 156 HEADER,,,"Matt has them, and also a crimper"
X4,,AK500/2,AK500/2,CONNECTOR,5151383,http://uk.rs-online.com/web/p/pcb-headers/5151383/,Jst battery connector
,,,,,,,
,2000mA/h,,,Lipo,7916460,http://uk.rs-online.com/web/p/lithium-rechargeable-battery-packs/7916460/,
